"","peak_id","peak_name","host_contries","alternative_names","height_m","height_ft","location","region","restrictions","climb_status","is_open","is_unlisted","is_trekking","trek_year","first_asc_yr","first_asc_season","first_asc_date","countries","first_summiters","summiters_notes","lat","long"
"14","ANNM","Annapurna I Middle","Nepal only","",8051,26414,"Annapurna","Annapurna-Damodar-Peri","Requires permit for Annapurna I","Climbed",1,0,0,0,1980,"Autumn","Oct 03","W Germany","Udo Boening, Ludwig Greissl, Heinz Oberrauch","",28.5110773,83.6615219
"15","ANNS","Annapurna South","Nepal only","Annapurna Dakshin, Moditse",7219,23684,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1964,"Autumn","Oct 15","Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa","",28.5183959,83.8063433
"16","APIM","Api Main","Nepal only","",7132,23399,"Api/Byas Risi/Guras","Far West-Kanjiroba","","Climbed",1,0,0,0,1960,"Spring","May 10","Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa","1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m",50.4653763,4.1953511
"17","APIW","Api West","Nepal only","",7076,23215,"Api/Byas Risi/Guras","Far West-Kanjiroba","","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",7.7698,8.1578
"18","ARDN","Ardang","Nepal only","Chyoro Ri",6034,19797,"Nalakankar/Chandi/Changla","Far West-Kanjiroba","Opened in 2014","Climbed",1,0,0,0,2019,"Autumn","Nov 13","Canada","Bryce Brown, Sunny Twelker","",NA,NA
"19","ARNK","Arniko Chuli","Nepal & China","Araniko Chuli",6034,19797,"Mukut/Mustang","Dhaulagiri-Mukut","Opened in 2002","Climbed",1,0,0,0,2002,"Summer","Jul 10","Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa","",NA,NA
"20","ASAJ","Asajya Tuppa","Nepal & China","",6265,20554,"Nalakankar/Chandi/Changla","Far West-Kanjiroba","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"21","BAMO","Bamongo","Nepal & China","",6406,21017,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2002","Climbed",1,0,0,0,2013,"Autumn","Oct 30","Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa","",NA,NA
"22","BARU","Baruntse","Nepal only","",7152,23465,"Khumbu","Khumbu-Rolwaling-Makalu","","Climbed",1,0,0,0,1954,"Spring","May 29","New Zealand","Colin Todd, Geoff Harrow","",27.8720615,86.9796489
"23","BAUD","Baudha","Nepal only","",6672,21890,"Manaslu/Mansiri","Manaslu-Ganesh","","Climbed",1,0,0,0,1970,"Spring","May 02","Japan","Yoshiyuki Kobayashi, Kiyoyasu Shibata","",27.7203406,85.3611116
"24","BEDG","Beding Go","Nepal & China","Bedding Go",6125,20095,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2014","Climbed",1,0,0,0,2015,"Autumn","Oct 21","Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa","",NA,NA
"25","BHEM","Bhemdang Ri","Nepal only","Morimoto",6150,20177,"Langtang","Langtang-Jugal","","Climbed",1,0,0,0,1964,"Spring","May 10","Japan, Nepal","Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa","",28.2721381,85.6635329
"26","BHRI","Bhrikuti","Nepal only","Damodar Himal",6476,21247,"Damodar","Annapurna-Damodar-Peri","Opened in 2014","Climbed",1,0,0,0,1982,"Spring","May 18","Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa","1-3rd ascents claimed",27.692718,82.9554791880518
"27","BHRS","Bhrikuti Shail","Nepal & China","",6361,20869,"Damodar","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,2005,"Spring","May 16","France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh","",28.893082,84.2261556
